======= Starting work ========
initializing Nn_top
Initializing Global INT Controller
Setting up Interrupt Controller
***** Loading lenet with biases ******
Initializing weights layer 1
Initializing weights layer 2
Initializing bias layer 1
Initializing bias layer 2
Done Initializations ...
Interrupts ready to go ...
Done flushing memorySending input data
Starting IP
Time: 0.000058440 ms

Fps: 17111.57

Hardware[0] = 30,	 gold[0] = 30
Hardware[1] = 1792,	 gold[1] = 1792
Hardware[2] = 0,	 gold[2] = 0
Hardware[3] = 512,	 gold[3] = 512
Hardware[4] = 0,	 gold[4] = 0
Hardware[5] = 3328,	 gold[5] = 3328
Hardware[6] = 2401,	 gold[6] = 2401
Hardware[7] = 8,	 gold[7] = 8
Hardware[8] = 2304,	 gold[8] = 2304
Hardware[9] = 0,	 gold[9] = 0
Hardware[10] = 30,	 gold[10] = 30
Hardware[11] = 256,	 gold[11] = 256
Hardware[12] = 0,	 gold[12] = 0
Hardware[13] = 0,	 gold[13] = 0
Hardware[14] = 0,	 gold[14] = 0
Hardware[15] = 1280,	 gold[15] = 1280
Hardware[16] = 2401,	 gold[16] = 2401
Hardware[17] = 3,	 gold[17] = 3
Hardware[18] = 2304,	 gold[18] = 2304
Hardware[19] = 0,	 gold[19] = 0
Hardware[20] = 30,	 gold[20] = 30
Hardware[21] = 256,	 gold[21] = 256
Hardware[22] = 0,	 gold[22] = 0
Hardware[23] = 0,	 gold[23] = 0
Hardware[24] = 0,	 gold[24] = 0
Hardware[25] = 1280,	 gold[25] = 1280
Hardware[26] = 2401,	 gold[26] = 2401
Hardware[27] = 3,	 gold[27] = 3
Hardware[28] = 2304,	 gold[28] = 2304
Hardware[29] = 0,	 gold[29] = 0
Hardware[30] = 30,	 gold[30] = 30
Hardware[31] = 256,	 gold[31] = 256
Hardware[32] = 0,	 gold[32] = 0
Hardware[33] = 0,	 gold[33] = 0
Hardware[34] = 0,	 gold[34] = 0
Hardware[35] = 1280,	 gold[35] = 1280
Hardware[36] = 2401,	 gold[36] = 2401
Hardware[37] = 3,	 gold[37] = 3
Hardware[38] = 2304,	 gold[38] = 2304
Hardware[39] = 0,	 gold[39] = 0
Hardware[40] = 30,	 gold[40] = 30
Hardware[41] = 256,	 gold[41] = 256
Hardware[42] = 0,	 gold[42] = 0
Hardware[43] = 0,	 gold[43] = 0
Hardware[44] = 0,	 gold[44] = 0
Hardware[45] = 1280,	 gold[45] = 1280
Hardware[46] = 2401,	 gold[46] = 2401
Hardware[47] = 3,	 gold[47] = 3
Hardware[48] = 2304,	 gold[48] = 2304
Hardware[49] = 0,	 gold[49] = 0
Hardware[50] = 30,	 gold[50] = 30
Hardware[51] = 256,	 gold[51] = 256
Hardware[52] = 0,	 gold[52] = 0
Hardware[53] = 0,	 gold[53] = 0
Hardware[54] = 0,	 gold[54] = 0
Hardware[55] = 1280,	 gold[55] = 1280
Hardware[56] = 2401,	 gold[56] = 2401
Hardware[57] = 3,	 gold[57] = 3
Hardware[58] = 2304,	 gold[58] = 2304
Hardware[59] = 0,	 gold[59] = 0
Hardware[60] = 30,	 gold[60] = 30
Hardware[61] = 256,	 gold[61] = 256
Hardware[62] = 1,	 gold[62] = 1
Hardware[63] = 0,	 gold[63] = 0
Hardware[64] = 4608,	 gold[64] = 4608
Hardware[65] = 1280,	 gold[65] = 1280
Hardware[66] = 2401,	 gold[66] = 2401
Hardware[67] = 6,	 gold[67] = 6
Hardware[68] = 2304,	 gold[68] = 2304
Hardware[69] = 0,	 gold[69] = 0
Hardware[70] = 20,	 gold[70] = 20
Hardware[71] = 12822,	 gold[71] = 12822
Hardware[72] = 0,	 gold[72] = 0
Hardware[73] = 15616,	 gold[73] = 15616
Hardware[74] = 0,	 gold[74] = 0
Hardware[75] = 16640,	 gold[75] = 16640
Hardware[76] = 105,	 gold[76] = 105
Hardware[77] = 8,	 gold[77] = 8
Hardware[78] = 17408,	 gold[78] = 17408
Hardware[79] = 0,	 gold[79] = 0
Hardware[80] = 105,	 gold[80] = 105
Hardware[81] = 110,	 gold[81] = 110
Hardware[82] = 36049,	 gold[82] = 36049
Hardware[83] = 46193,	 gold[83] = 46193
Hardware[84] = 13105,	 gold[84] = 13105
Hardware[85] = 65426,	 gold[85] = 65426
Hardware[86] = 240,	 gold[86] = 240
Hardware[87] = 0,	 gold[87] = 0
Hardware[88] = 65535,	 gold[88] = 65535
Hardware[89] = 4380,	 gold[89] = 4380
Hardware[90] = 255,	 gold[90] = 255
Hardware[91] = 21,	 gold[91] = 21
Hardware[92] = 31999,	 gold[92] = 31999
Hardware[93] = 237,	 gold[93] = 237
Hardware[94] = 6,	 gold[94] = 6
Hardware[95] = 65535,	 gold[95] = 65535
Hardware[96] = 255,	 gold[96] = 255
Hardware[97] = 0,	 gold[97] = 0
Hardware[98] = 255,	 gold[98] = 255
Hardware[99] = 74,	 gold[99] = 74
Hardware[100] = 252,	 gold[100] = 252
Hardware[101] = 74,	 gold[101] = 74
Hardware[102] = 255,	 gold[102] = 255
Hardware[103] = 156,	 gold[103] = 156
Hardware[104] = 24,	 gold[104] = 24
Hardware[105] = 61566,	 gold[105] = 61566
Hardware[106] = 7653,	 gold[106] = 7653
Hardware[107] = 33,	 gold[107] = 33
Hardware[108] = 255,	 gold[108] = 255
Hardware[109] = 11,	 gold[109] = 11
Hardware[110] = 190,	 gold[110] = 190
Hardware[111] = 83,	 gold[111] = 83
Hardware[112] = 255,	 gold[112] = 255
Hardware[113] = 96,	 gold[113] = 96
Hardware[114] = 16,	 gold[114] = 16
Hardware[115] = 61740,	 gold[115] = 61740
Hardware[116] = 9471,	 gold[116] = 9471
Hardware[117] = 32,	 gold[117] = 32
Hardware[118] = 255,	 gold[118] = 255
Hardware[119] = 0,	 gold[119] = 0
Hardware[120] = 3530,	 gold[120] = 3530
Hardware[121] = 19973,	 gold[121] = 19973
Hardware[122] = 255,	 gold[122] = 255
Hardware[123] = 0,	 gold[123] = 0
Hardware[124] = 95,	 gold[124] = 95
Hardware[125] = 23828,	 gold[125] = 23828
Hardware[126] = 8900,	 gold[126] = 8900
Hardware[127] = 28,	 gold[127] = 28
Hardware[128] = 255,	 gold[128] = 255
Hardware[129] = 13568,	 gold[129] = 13568
Hardware[130] = 66,	 gold[130] = 66
Hardware[131] = 7936,	 gold[131] = 7936
Hardware[132] = 19,	 gold[132] = 19
Hardware[133] = 0,	 gold[133] = 0
Hardware[134] = 4608,	 gold[134] = 4608
Hardware[135] = 0,	 gold[135] = 0
Hardware[136] = 100,	 gold[136] = 100
Hardware[137] = 2,	 gold[137] = 2
Hardware[138] = 0,	 gold[138] = 0
Hardware[139] = 0,	 gold[139] = 0
Hardware[140] = 113,	 gold[140] = 113
Hardware[141] = 20492,	 gold[141] = 20492
Hardware[142] = 0,	 gold[142] = 0
Hardware[143] = 14080,	 gold[143] = 14080
Hardware[144] = 0,	 gold[144] = 0
Hardware[145] = 2816,	 gold[145] = 2816
Hardware[146] = 9571,	 gold[146] = 9571
Hardware[147] = 535,	 gold[147] = 535
Hardware[148] = 8704,	 gold[148] = 8704
Hardware[149] = 0,	 gold[149] = 0
Hardware[150] = 4351,	 gold[150] = 4351
Hardware[151] = 20651,	 gold[151] = 20651
Hardware[152] = 0,	 gold[152] = 0
Hardware[153] = 65507,	 gold[153] = 65507
Hardware[154] = 91,	 gold[154] = 91
Hardware[155] = 27391,	 gold[155] = 27391
Hardware[156] = 65449,	 gold[156] = 65449
Hardware[157] = 65535,	 gold[157] = 65535
Hardware[158] = 3072,	 gold[158] = 3072
Hardware[159] = 13604,	 gold[159] = 13604
Hardware[160] = 255,	 gold[160] = 255
Hardware[161] = 195,	 gold[161] = 195
Hardware[162] = 27392,	 gold[162] = 27392
Hardware[163] = 65535,	 gold[163] = 65535
Hardware[164] = 175,	 gold[164] = 175
Hardware[165] = 55807,	 gold[165] = 55807
Hardware[166] = 65404,	 gold[166] = 65404
Hardware[167] = 65535,	 gold[167] = 65535
Hardware[168] = 255,	 gold[168] = 255
Hardware[169] = 248,	 gold[169] = 248
Hardware[170] = 144,	 gold[170] = 144
Hardware[171] = 255,	 gold[171] = 255
Hardware[172] = 6144,	 gold[172] = 6144
Hardware[173] = 65535,	 gold[173] = 65535
Hardware[174] = 130,	 gold[174] = 130
Hardware[175] = 65535,	 gold[175] = 65535
Hardware[176] = 65280,	 gold[176] = 65280
Hardware[177] = 65535,	 gold[177] = 65535
Hardware[178] = 255,	 gold[178] = 255
Hardware[179] = 149,	 gold[179] = 149
Hardware[180] = 0,	 gold[180] = 0
Hardware[181] = 218,	 gold[181] = 218
Hardware[182] = 30719,	 gold[182] = 30719
Hardware[183] = 65535,	 gold[183] = 65535
Hardware[184] = 210,	 gold[184] = 210
Hardware[185] = 65535,	 gold[185] = 65535
Hardware[186] = 65280,	 gold[186] = 65280
Hardware[187] = 65503,	 gold[187] = 65503
Hardware[188] = 22271,	 gold[188] = 22271
Hardware[189] = 62592,	 gold[189] = 62592
Hardware[190] = 65280,	 gold[190] = 65280
Hardware[191] = 64598,	 gold[191] = 64598
Hardware[192] = 1279,	 gold[192] = 1279
Hardware[193] = 188,	 gold[193] = 188
Hardware[194] = 50,	 gold[194] = 50
Hardware[195] = 18687,	 gold[195] = 18687
Hardware[196] = 0,	 gold[196] = 0
Hardware[197] = 38692,	 gold[197] = 38692
Hardware[198] = 255,	 gold[198] = 255
Hardware[199] = 33176,	 gold[199] = 33176
Hardware[200] = 1561,	 gold[200] = 1561
Hardware[201] = 13066,	 gold[201] = 13066
Hardware[202] = 32,	 gold[202] = 32
Hardware[203] = 1536,	 gold[203] = 1536
Hardware[204] = 4608,	 gold[204] = 4608
Hardware[205] = 13081,	 gold[205] = 13081
Hardware[206] = 84,	 gold[206] = 84
Hardware[207] = 10,	 gold[207] = 10
Hardware[208] = 29,	 gold[208] = 29
Hardware[209] = 0,	 gold[209] = 0
Hardware[210] = 42,	 gold[210] = 42
Hardware[211] = 2560,	 gold[211] = 2560
Hardware[212] = 0,	 gold[212] = 0
Hardware[213] = 0,	 gold[213] = 0
Hardware[214] = 0,	 gold[214] = 0
Hardware[215] = 2816,	 gold[215] = 2816
Hardware[216] = 103,	 gold[216] = 103
Hardware[217] = 8,	 gold[217] = 8
Hardware[218] = 0,	 gold[218] = 0
Hardware[219] = 0,	 gold[219] = 0
Hardware[220] = 92,	 gold[220] = 92
Hardware[221] = 3099,	 gold[221] = 3099
Hardware[222] = 0,	 gold[222] = 0
Hardware[223] = 0,	 gold[223] = 0
Hardware[224] = 0,	 gold[224] = 0
Hardware[225] = 9216,	 gold[225] = 9216
Hardware[226] = 5786,	 gold[226] = 5786
Hardware[227] = 12,	 gold[227] = 12
Hardware[228] = 0,	 gold[228] = 0
Hardware[229] = 0,	 gold[229] = 0
Hardware[230] = 177,	 gold[230] = 177
Hardware[231] = 545,	 gold[231] = 545
Hardware[232] = 0,	 gold[232] = 0
Hardware[233] = 0,	 gold[233] = 0
Hardware[234] = 0,	 gold[234] = 0
Hardware[235] = 31744,	 gold[235] = 31744
Hardware[236] = 26623,	 gold[236] = 26623
Hardware[237] = 13365,	 gold[237] = 13365
Hardware[238] = 0,	 gold[238] = 0
Hardware[239] = 0,	 gold[239] = 0
Hardware[240] = 155,	 gold[240] = 155
Hardware[241] = 44076,	 gold[241] = 44076
Hardware[242] = 197,	 gold[242] = 197
Hardware[243] = 0,	 gold[243] = 0
Hardware[244] = 23,	 gold[244] = 23
Hardware[245] = 65280,	 gold[245] = 65280
Hardware[246] = 35071,	 gold[246] = 35071
Hardware[247] = 18490,	 gold[247] = 18490
Hardware[248] = 65280,	 gold[248] = 65280
Hardware[249] = 28416,	 gold[249] = 28416
Hardware[250] = 65280,	 gold[250] = 65280
Hardware[251] = 65511,	 gold[251] = 65511
Hardware[252] = 141,	 gold[252] = 141
Hardware[253] = 0,	 gold[253] = 0
Hardware[254] = 55080,	 gold[254] = 55080
Hardware[255] = 170,	 gold[255] = 170
Hardware[256] = 16813,	 gold[256] = 16813
Hardware[257] = 4352,	 gold[257] = 4352
Hardware[258] = 65287,	 gold[258] = 65287
Hardware[259] = 65280,	 gold[259] = 65280
Hardware[260] = 65280,	 gold[260] = 65280
Hardware[261] = 65470,	 gold[261] = 65470
Hardware[262] = 0,	 gold[262] = 0
Hardware[263] = 512,	 gold[263] = 512
